age,1996,2001,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
total,3732000,3880500,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200
  0-4 years,294700,281000,286000,293100,301030,307200,314350,317460,315730,311930,308810,305740,305020
  5-9 years,295840,295470,291880,291780,290950,292080,290790,290560,294100,300070,306460,315130,322270
  10-14 years,269000,300740,310430,306380,303540,301870,303000,302680,300000,296770,295830,293470,294330
  15-19 years,270830,277620,313560,316280,317030,317020,317130,314550,312840,312480,313580,316800,318380
  20-24 years,280320,255630,291180,289190,288740,292350,299760,307230,310660,314920,325650,338660,348800
  25-29 years,284860,257240,260370,264450,268570,272210,275040,274880,274520,277490,291250,312310,338240
  30-34 years,302030,291640,286010,278520,271900,268920,267750,268120,268320,271090,277630,286990,298970
  35-39 years,295830,306680,312560,315310,314180,310490,304950,294360,284140,276360,273020,273780,279020
  40-44 years,264200,296880,322490,318960,315080,313730,314330,316630,317680,316570,313640,309250,301510
  45-49 years,249450,261680,305160,313250,320360,323660,323920,320570,315530,311990,311290,313250,318340
  50-54 years,192930,245100,263650,270340,276920,284600,292300,299670,306840,313670,317410,318530,316910
  55-59 years,164460,189260,243010,243410,244530,248310,252720,258790,265410,271760,279540,287300,295960
  60-64 years,137460,160980,186660,197550,211880,221830,231150,238420,239270,241010,245230,250150,257060
  65 years and over,430100,460600,511600,525300,535000,548300,563500,580100,603000,626000,650400,674300,698400
